Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Influence of macroalgal mats on abundance and distribution of dunlin Calidris alpina in estuaries:: a long-term approach,"Lopes, RJ; Pardal, MA; Múrias, T; Cabral, JA; Marques, JC","Estuaries used by shorebirds during the non-breeding season face many types of human pressure, including eutrophication and consequent occurrence of macroalgal blooms. The impact of this phenomenon on the abundance of dunlin Calidris alpina in the Mondego estuary, Portugal, was explored using long-term, monthly time series, between 1993 and 2003. The data series included total macroalgal cover, macroinvertebrate biomass and dunlin abundance. We observed an increase in dunlin abundance during this period that matched the decrease in macroalgal cover, especially since the promotion of management actions in 1998. We suggest that this increase was related to the increase Of SOME of its main prey species, the polychaete Hediste diversicolor and the bivalve Scrobicularia plana. At smaller scales, no effect of macroalgae was observed on the proportion of dunlin that chose to feed in alternative habitats (salinas) during the low tide period. However, there was a small effect of the level of algal cover on the proportion of birds recorded on macroalgae at intermediate levels of coverage (around 25 % of total mudflat area).",2006,,MARINE ECOLOGY PROGRESS SERIES,323,,11-20,WOS:000241921700002,10.3354/meps323011,,#26,Lopes 2006,"",""
A critical comparison of two long-term zooplankton time series from the central-west North Sea,"Clark, RA; Frid, CLJ; Batten, S","Long-term changes in relative and absolute zooplankton abundance and species composition mere compared between the Dove Marine Laboratory and Continuous Plankton Recorder (CPR) time series in the central-western North Sea. The two time series employ different sampling mechanisms, with the Dove series being obtained by net sampling at a fixed station off the Northumberland coast, while the CPR series utilizes a network of fixed towed routes. It was found that there was a significant correlation (r = 0.64, P < 0.001) between the relative year-to-year fluctuations of the two series and a significant agreement in the pattern of year-to-year variations in species composition of the dominant taxa (P = 0.01) over the majority of the time period. However, examination of absolute zooplankton abundances found large differences between the two time series. Differences in mesh size and in the sample processing methodologies were not wholly responsible for these. Model-derived catching efficiencies for the two sampling devices suggested that differences in absolute abundances may have been mainly due in same tara to a greater degree of active avoidance of the CPR sampling device by zooplankton, although it is likely that passive avoidance ar a result of hydrodynamic factors has a role.",2001,,JOURNAL OF PLANKTON RESEARCH,23,1,27-39,WOS:000167155300004,10.1093/plankt/23.1.27,,#27,Clark 2001,"",""
"A gradient from stable to cyclic populations of Clethrionomys rufocanus in Hokkaido, Japan","Stenseth, NC; Bjornstad, ON; Saitoh, T","A total of 31 years of abundance data from 90 populations of the grey-sided vole (Clethrionomys rufocanus) in northern Hokkaido (Japan) were analysed with respect to population dynamic characteristics. Both non-periodic and multi-annually periodic fluctuations occur among the studied populations. The length of the period varies from 2 to 5 years. The dynamics appear approximately linear on a logarithmic scale, and a log-linear stochastic difference model with one time-lag is found to recreate the periodograms of the time series. The deterministic (log-linear) component of these models determines the periodicity while stochasticity sustains the cycles. The dynamics of the Hokkaidian vole populations are found to vary clinally from the western coast eastwards and towards the interior of the study area. This gradient corresponds superficially to the latitudinal gradient seen in microtine populations in Fennoscandia. However, under close scrutiny, these gradients differ greatly: the Hokkaidian gradient is caused by a dine in delayed density dependence. Statistical delayed density dependence is more negative towards the east and the interior.",1996,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,263,1374,1117-1126,WOS:A1996VK92900004,10.1098/rspb.1996.0164,,#29,Stenseth 1996,"",""
Ichthyoplankton sampling design to monitor marine fish populations and communities,"Koslow, JA; Wright, M","The ability to assess, model, predict and manage the impacts of climate change and other anthropogenic stressors on marine ecosystems depends on having adequate ecological time series. Unfortunately the development of ecological time series considerably lags those for the physics and chemistry of the oceans. Ichthyoplankton time series are proposed here to fill this gap in ocean observations. Marine fish species spanning a wide range of families, habitats, feeding guilds, and trophic levels broadcast large numbers of their reproductive products into the open waters. For a limited period, the larvae generally reside in the upper 200 m of the water column, where they may be quantitatively sampled with plankton nets. Larval abundance provides a relative index for adult spawning stock biomass, enabling diverse fish communities to be monitored quantitatively by relatively simple means. Recent analyses of the ichthyoplankton time series extending back to 1951 from the California Cooperative Oceanic Fisheries Investigations (CalCOFI) program indicate that non-commercial as well as commercially-exploited taxa have experienced dramatic change in recent decades. The CalCOFI data set is re-sampled here to show that a reduced sampling program one based on a few stations along a single transect (cf > 50 stations along 6 transects for CalCOFI) or one based on a shorter time series can, within limits, obtain similar single-pecies and multivariate patterns of abundance. Ichthyoplankton survey programs may thus provide the basis for a global system of ocean ecological observations in addition to their primary use today for fisheries stock assessment. (C) 2016 Elsevier Ltd. All rights reserved.",2016,,MARINE POLICY,68,,55-64,WOS:000375519300007,10.1016/j.marpol.2016.02.011,,#31,Koslow 2016,"",""
Climate effects on phytoplankton floral composition in Chesapeake Bay,"Harding, LW; Adolf, JE; Mallonee, ME; Miller, WD; Gallegos, CL; Perry, ES; Johnson, JM; Sellner, KG; Paerl, HW","Long-term data on floral composition of phytoplankton are presented to document seasonal and inter-annual variability in Chesapeake Bay related to climate effects on hydrology. Source data consist of the abundances of major taxonomic groups of phytoplankton derived from algal photopigments (1995-2004) and cell counts (1985-2007). Algal photopigments were measured by high-performance liquid chromatography (HPLC) and analyzed using the software CHEMTAX to determine the proportions of chlorophyll-a (chl-a) in major taxonomic groups. Cell counts determined microscopically provided species identifications, enumeration, and dimensions used to obtain proportions of cell volume (CV), plasma volume (PV), and carbon (C) in the same taxonomic groups. We drew upon these two independent data sets to take advantage of the unique strengths of each method, using comparable quantitative measures to express floral composition for the main stem bay. Spatial and temporal variability of floral composition was quantified using data aggregated by season, year, and salinity zone. Both time-series were sufficiently long to encompass the drought flood cycle with commensurate effects on inputs of freshwater and solutes. Diatoms emerged as the predominant taxonomic group, with significant contributions by dinoflagellates, cryptophytes, and cyanobacteria, depending on salinity zone and season. Our analyses revealed increased abundance of diatoms in wet years compared to long-term average (LTA) or dry years. Results are presented in the context of long-term nutrient over-enrichment of the bay, punctuated by inter-annual variability of freshwater flow that strongly affects nutrient loading, chl-a, and floral composition. Statistical analyses generated flow-adjusted diatom abundance and showed significant trends late in the time series, suggesting current and future decreases of nutrient inputs may lead to a reduction of the proportion of biomass comprised by diatoms in an increasingly diverse flora. (C) 2015 Elsevier Ltd. All rights reserved.",2015,,ESTUARINE COASTAL AND SHELF SCIENCE,162,,53-68,WOS:000360774700007,10.1016/j.ecss.2014.12.030,,#35,Harding 2015,"",""
"Dynamics of picophytoplankton, ultraphytoplankton and bacteria in the central equatorial Pacific","Binder, BJ; Chisholm, SW; Olson, RJ; Frankel, SL; Worden, AZ","Pico- and ultraplankton are known to contribute significantly to overall biomass and primary productivity in the ''high nutrient-low chlorophyll'' waters of the equatorial Pacific. In order to understand the dynamics of this community on ecologically relevant time-scales, we examined the abundance, distribution and cellular characteristics of Prochlorococcus, Synechococcus, eukaryotic ultraphytoplankton and heterotrophic bacteria during two 20-day time-series at 0 degrees N, 140 degrees W in the spring and fall of 1992 (JGOFS time-series cruises, TS-I and TS-II). Prochlorococcus was numerically dominant among the autotrophic groups considered, with mean cell concentrations in surface waters on the order of 1.4 x 10(5) cells ml(-1). Synechococcus and ultraphytoplankton abundances were 17-30-fold lower than those of Prochlorococcus, and heterotrophic bacterial abundances were 5-7-fold higher (during TS-I and TS-II, respectively). Daily cell abundances for all groups varied by factors of 1.5-2 within each time-series. Depth-integrated Prochlorococcus abundance averaged over each time-series was 25% lower during TS-II relative to TS-I; ultraphytoplankton abundance was 42% higher during the same period. Prochlorococcus and ultraphytoplankton both contributed significantly to the estimated total autotrophic biomass; Synechococcus contributed relatively little. Estimated total photosynthetic pico- plus ultraplankton biomass was on average 30% higher than heterotrophic bacterial biomass.Changes in the fluorescence and light scatter properties of individual Prochlorococcus cells were observed during the passage of a tropical instability wave during TS-II, and are hypothesized to reflect a physiological response among these cells to that event. Examination of bulk properties alone (e.g. cell numbers or total red fluorescence) would not have revealed these physiological changes.Lower bounds for Prochlorococcus-specific growth rates were calculated based on the DNA distributions of these populations at dusk. These rates were maximal at 15 or 30 m depth, where they approached one doubling per day. Changes in Prochlorococcus forward angle light scatter (FALS) from dawn to dusk were well correlated with these estimates of specific growth rate, an observation that allowed us to relate measurements of FALS to cell volume for Prochlorococcus. Copyright (C) 1996 Elsevier Science Ltd.",1996,,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,43,4-6,907-931,WOS:A1996VR82300010,10.1016/0967-0645(96)00023-9,,#36,Binder 1996,"",""
Population dynamics and regulation of the Middle Spotted Woodpecker in strictly protected and managed forests in Western Poland,"Kosinski, Z; Walczak, L","Analysis of ecological time series allows to assess the relative contribution of density-dependent and density-independent factors influencing the regulation of the population of a species. In this study, we investigated whether the annual fluctuation in the population of Middle Spotted Woodpeckers Dendrocoptes medius can be attributed to the direct or delayed density-dependent regulation or to the density-independent factors such as weather conditions during the preceding winter and previous breeding season and/or disturbance in the habitat associated with sanitary felling and salvage logging of trees. This study was conducted in the Czeszewo Forest Reserve, which protects the remnants of semi-natural flood-plain forest, and in the Lowkowiec Forest, which is a managed oak-dominated stand, during 19 seasons (2001-2019). Time series diagnostic revealed that the growth rate of population of Middle Spotted Woodpecker in protected semi-natural riverine forest and in managed oak forest was determined by first-order negative feedback, suggesting an important role of direct density-dependent mortality in the regulation of an equilibrium in population size. The effect of density-dependent process varied between study sites, being lower in riverine forest, where population size has increased distinctly in recent years. In both study areas, we detected strong positive effects of wind chill temperature during the preceding winter on population growth rates. We did not find evidence for the assumption that the increase in population growth rate is affected by weather conditions in the previous breeding season and by the disturbance in the habitat associated with sanitary felling and salvage logging of trees. Our results suggest that Middle Spotted Woodpeckers can benefit from global climate warming by an enhanced rate of winter survival or an increase in the accessibility of food, e.g., insects and other arthropods. The lack of time-lag significant correlations between population fluctuations suggests local habitat conditions, e.g., forest management, can modify inter-annual variability in time series of the Middle Spotted Woodpecker.",2020,,JOURNAL OF ORNITHOLOGY,161,3,739-751,WOS:000522712200001,10.1007/s10336-020-01765-w,,#37,Kosinski 2020,"",""
Density-dependent growth of double-crested cormorant colonies on Lake Huron,"Ridgway, MS; Pollard, JB; Weseloh, DVC","By analyzing 20+ years of data, we found that the nesting colonies of double-crested cormorants (Phalacro-corax auritus (Lesson, 1831)) in the North Channel and Georgian Bay of Lake Huron exhibit density-dependent population regulation. This conclusion is based on four lines of evidence. First, a time series of nest counts at specific colonies (1979-2001) showed density-dependent growth based on randomization tests of the time series. Second, the per capita rate of change in colony size declined with increasing colony size over a 10-year period. Third, a Ricker model of aggregate nest counts showed that population growth of nesting double-crested cormorants stabilized in recent years (through 2003), with K, the carrying capacity parameter, being 11445 nests in the North Channel and 10 815 nests in Georgian Bay. Fourth, a colony area index showed near complete coverage of coastal areas by adult nesters coinciding with overall declines in population growth. High rates of population increase of double-crested cormorants on Lake Huron have largely come to an end, but changes in fish abundance may result in changes in carrying capacity.",2006,,CANADIAN JOURNAL OF ZOOLOGY,84,10,1409-1420,WOS:000243192700004,10.1139/Z06-133,,#39,Ridgway 2006,"",""
"DETECTING CAUSATION ON ZOOPLANKTON, ATHERINOPSID, AND BARRED SPLITFIN TIME-SERIES IN A SHALLOW TROPICAL LAKE","Becerra-Muñoz, S; Catalán-Romero, JM; Buelna-Osben, HR","We used Multispatial Convergent Cross Mapping analysis to detect causality on monthly differences of zooplankton volume and fish density and biomass time-series of atherinopsids (Chirostoma species) and barred splitfin (Chapalichthys encaustus) from Lake Chapala, Mexico. The dynamics of monthly differences of zooplankton volume were causally influenced by monthly differences in pH. The dynamics of the monthly differences of atherinopsid and barred splitfin density, and atherinopsid biomass, were not causally influenced by monthly differences of any of the measured physicochemical variables. The dynamics of the monthly differences of the barred splitfin biomass were due to monthly differences in water temperature and alkalinity. The dynamics of monthly differences of zooplankton volume did not show any significant causal forcing on the dynamics of monthly differences of density and biomass of atherinopsid and barred splitfin density. The dynamics of monthly differences of atherinopsids showed significant causal influence on the dynamics of the monthly differences of the barred splitfin, but barred splitfin did not show causal influence on the dynamics of the monthly differences of atherinopsids.",2016,,SOUTHWESTERN NATURALIST,61,1,1-7,WOS:000378084400001,,,#40,Becerra-Muñoz 2016,"",""
Proportion of copepod biomass declines with decreasing salinity in the Baltic Sea,"Vuorinen, I; Hanninen, J; Viitasalo, M; Helminen, U; Kuosa, H","The biomass ratio of copepoda/cladocera decreased in the Northern Baltic Archipelago Sea (SW Finland) in concert with a decrease in the seawater salinity during the 1980s. There also was an increase in freshwater run-off from the watershed of the Baltic Proper. Seawater salinity correlated negatively with freshwater run-off with a time lag of several years. The abundance percentages of most dominant zooplankton species correlated significantly with salinity, either positively (large neritic copepods), or negatively (freshwater cladocerans). All data sets together indicate a close connection between the functioning of the pelagic Baltic Sea ecosystem and large-scale weather patterns over the run-off area. (C) 1998 International Council for the Exploration of the Sea.",1998,,ICES JOURNAL OF MARINE SCIENCE,55,4,767-774,WOS:000076754200024,10.1006/jmsc.1998.0398,,#41,Vuorinen 1998,"",""
"Long-term variations in macrobenthic community diversity (species number) in the Chokchon macrotidal flat, Incheon, Korea","Yoo, JW; Lee, HJ; Hong, JS","We performed a time-series analysis of environmental variables and biological parameters to understand temporal variations in the macrobenthic community in the Chokchon macrotidal flats, Incheon, Korea. Bimonthly sampling of macrobenthos and sediments was conducted from May 1989 through November 2001. A decomposition method composed of seasonality, trends and cyclical variation was employed in this study. We focused on trends of the selected variables and assumed that those with positive or negative trends caused changes in biological parameters. Most variables showed strong seasonality (aeyen 95% of the total variance). Significant positive trends (p < 0.0001) were observed in sea water temperature and sediment ignition loss. Macrobenthic biomass and species number also showed significant positive trends (p < 0.0001). Biomass indicated that the study area underwent eutrophication since the mid 1990s. A notable increase in species number occurred throughout the study period. The flattened temperature trend after 1994 and intensified eutrophication after the mid 1990s indicated that the species increase in the former period was in response to increasing temperature, while that in the latter period was caused by eutrophication. Although our study suggested an increasing trend in diversity, it is important to check for unexpected changes and establish monitoring programs to provide early warnings, especially in lower latitudes.",2016,,OCEAN SCIENCE JOURNAL,51,3,435-445,WOS:000385426100013,10.1007/s12601-016-0039-3,,#44,Yoo 2016,"",""
Comparisons of zooplankton time series,"Mackas, DL; Beaugrand, G","Evidence for climate-correlated low frequency variability of various components of marine ecosystems has accumulated rapidly over the past 2 decades. There has also been a growing recognition that society needs to learn how the fluctuations of these various components are linked, and to predict the likely amplitude and steepness of future changes. Demographic characteristics of marine zooplankton make them especially suitable for examining variability of marine ecosystems at interannual to decadal time scales. Their life cycle duration is short enough that there is little carryover of population membership from year to year, but long enough that variability can be tracked with monthly-to-seasonal sampling. Because zooplankton are rarely fished, comparative analysis of changes in their abundance can greatly enhance our ability to evaluate the importance of and interaction between physical environment, food web, and fishery harvest as causal mechanisms driving ecosystem level changes. A number of valuable within-region analyses of zooplankton time series have been published in the past decade, covering a variety of modes of variability including changes in total biomass, changes in size structure and species composition, changes in spatial distribution, and changes in seasonal timing. But because most zooplankton time series are relatively short compared to the time scales of interest, the statistical power of local analyses is often low, and between-region and between-variable comparisons are also needed. In this paper, we review the results of recent within- and between-region analyses. and suggest some priorities for future work. Crown Copyright (C) 2009 Published by Elsevier B.V. All rights reserved.",2010,,JOURNAL OF MARINE SYSTEMS,79,3-4,286-304,WOS:000273052800007,10.1016/j.jmarsys.2008.11.030,,#45,Mackas 2010,"",""
