Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Temporal dynamics in microbial soil communities at anthrax carcass sites,"Valseth, K; Nesbo, CL; Easterday, WR; Turner, WC; Olsen, JS; Stenseth, NC; Haverkamp, THA","Background: Anthrax is a globally distributed disease affecting primarily herbivorous mammals. It is caused by the soil-dwelling and spore-forming bacterium Bacillus anthracis. The dormant B. anthracis spores become vegetative after ingestion by grazing mammals. After killing the host, B. anthracis cells return to the soil where they sporulate, completing the lifecycle of the bacterium. Here we present the first study describing temporal microbial soil community changes in Etosha National Park, Namibia, after decomposition of two plains zebra (Equus quagga) anthrax carcasses. To circumvent state-associated-challenges (i.e. vegetative cells/spores) we monitored B. anthracis throughout the period using cultivation, qPCR and shotgun metagenomic sequencing.Results: The combined results suggest that abundance estimation of spore-forming bacteria in their natural habitat by DNA-based approaches alone is insufficient due to poor recovery of DNA from spores. However, our combined approached allowed us to follow B. anthracis population dynamics (vegetative cells and spores) in the soil, along with closely related organisms from the B. cereus group, despite their high sequence similarity.Vegetative B. anthracis abundance peaked early in the time-series and then dropped when cells either sporulated or died. The time-series revealed that after carcass deposition, the typical semi-arid soil community (e.g. Frankiales and Rhizobiales species) becomes temporarily dominated by the orders Bacillales and Pseudomonadales, known to contain plant growth-promoting species.Conclusion: Our work indicates that complementing DNA based approaches with cultivation may give a more complete picture of the ecology of spore forming pathogens. Furthermore, the results suggests that the increased vegetation biomass production found at carcass sites is due to both added nutrients and the proliferation of microbial taxa that can be beneficial for plant growth. Thus, future B. anthracis transmission events at carcass sites may be indirectly facilitated by the recruitment of plant-beneficial bacteria.",2017,,BMC MICROBIOLOGY,17,,,WOS:000411707300001,10.1186/s12866-017-1111-6,,#52,Valseth 2017,"",""
Food-web dynamics in the Portuguese continental shelf ecosystem between 1986 and 2017: Unravelling drivers of sardine decline,"Szalaj, D; Torres, MA; Veiga-Malta, T; Angélico, MM; Sobrinho-Gonçalves, L; Chaves, C; Alcoforado, B; Garrido, S; Ré, P; Cabral, H; Silva, A","The Ecopath food web model that describes the Portuguese continental shelf ecosystem was fitted to available time series to investigate the ecosystem dynamics and decline of the Portuguese sardine stock. Our results showed that the Portuguese continental shelf ecosystem model is a good predictor of biomass and catch time-series trends for many species. Moreover, our results suggested that the main factors that drove the ecosystem dynamics were trophic interactions, fishing and environmental forcing (sea surface temperature). The same drivers were important in explaining sardine decline among which the largest contribution was observed when incorporating sea surface temperature forcing on adult sardine, followed by fishing. Moreover, sardine eggs predators (i.e., chub mackerel, horse mackerel and bogue) were emphasised as the most important among trophic interactions in explaining sardine trend between 1986 and 2017. Furthermore, a flow control hypothesis test, showed that model parametrization allows explaining sardine behaviour through wasp-waist control mechanism, characteristic for upwelling systems. This study represents an important step forward in understanding the changes that occurred in the Portuguese continental shelf ecosystem and provides helpful insights to explain Portuguese sardine decline.",2021,,ESTUARINE COASTAL AND SHELF SCIENCE,251,,,WOS:000684005500028,10.1016/j.ecss.2021.107259,,#54,Szalaj 2021,"",""
A Planted Forest Mapping Method Based on Long-Term Change Trend Features Derived from Dense Landsat Time Series in an Ecological Restoration Region,"Meng, YY; Wei, CY; Guo, YP; Tang, ZY","Planted forests provide a variety of meaningful ecological functions and services, which is a major approach for ecological restoration, especially in arid areas. However, mapping planted forests with remote-sensed data remains challenging due to the similarities in canopy spectral and structure characteristics and associated phenology features between planted forests and other vegetation types. In this study, taking advantage of the Google Earth Engine (GEE) platform and taking the Ningxia Hui Autonomous Region in northwestern China as an example, we developed an approach to map planted forests in an arid region by applying long-term features of the NDVI derived from dense Landsat time series. Our land cover map achieved a satisfactory accuracy and relatively low uncertainty, with an overall accuracy of 93.65% and a kappa value of 0.92. Specifically, the producer (PA) and user accuracies (UA) were 92.48% and 91.79% for the planted forest class, and 93.88% and 95.83% for the natural forest class, respectively. The total planted forest area was estimated as 3608.72 km(2) in 2020, accounting for 20.60% of the study area. The proposed mapping approach can facilitate assessment of the restoration effects of ecological engineering and research on ecosystem services and stability of planted forests.",2022,,REMOTE SENSING,14,4,,WOS:000765161700001,10.3390/rs14040961,,#56,Meng 2022,"",""
Searching for mechanisms of synchrony in spatially structured gamebird populations,"Cattadori, IM; Merler, S; Hudson, PJ","1. Time series data on five species of gamebird from the Dolomitic Alps were used to examine the relative importance of dispersal and common stochastic events in causing synchrony between spatially structured populations.2. Cross-correlation analysis of detrended time series was used to describe the spatial pattern of fluctuations in abundance, while standardized time series were used to describe both fluctuations and the trend in abundance. There were large variations in synchrony both within and between species and only weak negative relationships with distance.3. Species in neighbouring habitats were more likely to be in synchrony than species separated by several habitats. Species with similar density-dependent structure were more likely to be in synchrony.4. In order to estimate the relative importance of dispersal and environmental stochasticity, we modelled the spatial dynamics of each species using two different approaches. First, we used estimating functions and bootstrapping of time series data to calculate the relative importance of dispersal and stochastic effects for each species. Second, we estimated the intensity of environmental stochasticity from climatic records during the breeding season and then modelled the dispersal rate and dispersal distance for each species. The two models exhibited similar results for rock ptarmigan, black grouse, hazel grouse and rock partridge, while contrasting patterns were observed for capercaillie.5. The results suggest that environmental stochasticity plays the dominant role in synchronizing the fluctuations of these galliform species, although there will also be some dispersal between populations.",2000,,JOURNAL OF ANIMAL ECOLOGY,69,4,620-638,WOS:000087841400006,10.1046/j.1365-2656.2000.00421.x,,#58,Cattadori 2000,"",""
Inter-annual cascade effect on marine food web: A benthic pathway lagging nutrient supply to pelagic fish stock,"PELD-RECA; Fernandes, LDD; Netto, EBF; Coutinho, R","Currently, spatial and temporal changes in nutrients availability, marine planktonic, and fish communities are best described on a shorter than inter-annual (seasonal) scale, primarily because the simultaneous year-to-year variations in physical, chemical, and biological parameters are very complex. The limited availability of time series datasets furnishing simultaneous evaluations of temperature, nutrients, plankton, and fish have limited our ability to describe and to predict variability related to short-term process, as species-specific phenology and environmental seasonality. In the present study, we combine a computational time series analysis on a 15-year (1995-2009) weekly-sampled time series (high-resolution long-term time series, 780 weeks) with an Autoregressive Distributed Lag Model to track non-seasonal changes in 10 potentially related parameters: sea surface temperature, nutrient concentrations (NO2, NO3, NH4 and PO4), phytoplankton biomass (as in situ chlorophyll a biomass), meroplankton (barnacle and mussel larvae), and fish abundance (Mugil liza and Caranx latus). Our data demonstrate for the first time that highly intense and frequent upwelling years initiate a huge energy flux that is not fully transmitted through classical size-structured food web by bottom-up stimulus but through additional ontogenetic steps. A delayed inter-annual sequential effect from phytoplankton up to top predators as carnivorous fishes is expected if most of energy is trapped into benthic filter feeding organisms and their larval forms. These sequential events can explain major changes in ecosystem food web that were not predicted in previous short-term models.",2017,,PLOS ONE,12,9,,WOS:000410001100143,10.1371/journal.pone.0184512,,#60,PELD-RECA 2017,"",""
Nonlinear dynamics and intermittency in a long-term copepod time series,"Schmitt, FG; Molinero, JC; Brizard, SZ","We consider the nonlinear dynamics of a long-term copepod (small crustaceans) time series sampled weekly in the Mediterranean sea from 1967 to 1992. Such population dynamics display a high variability that we consider here in an interdisciplinary study, using tools borrowed from the field of statistical physics. We analyse the extreme events of male and female abundances, and of the total population, and show that they both have heavy tailed probability density functions (pdf). We provide hyperbolic fits of the form p(x) similar to 1/x(mu+1), and estimate the value of mu using Hill's estimator. We then study the ratio of male to female abundances, compared to the female abundances. Using conditional probability density functions and conditional averages, we show that this ratio is independent of the female density, when the latter is larger than a given threshold. This property is very useful for modelization. We also consider the product of male to female abundances, which can be ecologically related to the encounters. We show that this product is extremely intermittent, and link its pdf to the female pdf. (c) 2006 Elsevier B.V. All rights reserved.",2008,,COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,13,2,407-415,WOS:000254601700017,10.1016/j.cnsns.2006.04.005,,#61,Schmitt 2008,"",""
Testing alternative hypotheses for the decline of cichlid fish in Lake Victoria using fish tooth time series from sediment cores,"Ngoepe, N; Merz, A; King, L; Wienhues, G; Kishe, MA; Mwaiko, S; Misra, P; Grosjean, M; Matthews, B; Mustaphi, CC; Heiri, O; Cohen, A; Tinner, W; Muschick, M; Seehausen, O","Lake Victoria is well known for its high diversity of endemic fish species and provides livelihoods for millions of people. The lake garnered widespread attention during the twentieth century as major environmental and ecological changes modified the fish community with the extinction of approximately 40% of endemic cichlid species by the 1980s. Suggested causal factors include anthropogenic eutrophication, fishing, and introduced non-native species but their relative importance remains unresolved, partly because monitoring data started in the 1970s when changes were already underway. Here, for the first time, we reconstruct two time series, covering the last approximately 200 years, of fish assemblage using fish teeth preserved in lake sediments. Two sediment cores from the Mwanza Gulf of Lake Victoria, were subsampled continuously at an intra-decadal resolution, and teeth were identified to major taxa: Cyprinoidea, Haplochromini, Mochokidae and Oreochromini. None of the fossils could be confidently assigned to non-native Nile perch. Our data show significant decreases in haplochromine and oreochromine cichlid fish abundances that began long before the arrival of Nile perch. Cyprinoids, on the other hand, have generally been increasing. Our study is the first to reconstruct a time series of any fish assemblage in Lake Victoria extending deeper back in time than the past 50 years, helping shed light on the processes underlying Lake Victoria's biodiversity loss.",2024,,BIOLOGY LETTERS,20,3,,WOS:001187100500002,10.1098/rsbl.2023.0604,,#62,Ngoepe 2024,"",""
Identifying drivers of population dynamics for a stream breeding amphibian using time series of egg mass counts,"Rose, JP; Kupferberg, SJ; Peek, RA; Ashton, D; Bettaso, JB; Bobzien, S; Bourque, RM; Breedveld, KGH; Catenazzi, A; Drennan, JE; Gonsolin, E; Grefsrud, M; Herman, AE; House, MR; Kluber, MR; Lind, AJ; Marlow, KR; Striegle, A; van Hattem, M; Wheeler, CA; Wilcox, JT; Wiseman, KD; Halstead, BJ","The decline in amphibian populations is one of the starkest examples of the biodiversity crisis. For stream breeding amphibians, alterations to natural flow regimes by dams, water diversions, and climate change have been implicated in declines and extirpations. Identifying drivers of amphibian declines requires long time series of abundance data because amphibian populations can exhibit high natural variability. Multiple population viability analysis (MPVA) models integrate abundance data and share information from different populations to estimate how environmental factors influence population growth. Flow alteration has been linked to declines and extirpations in the Foothill Yellow-legged Frog (Rana boylii), a stream breeding amphibian native to California and Oregon. To date, no study has jointly analyzed abundance data from populations throughout the range of R. boylii in an MPVA model. We compiled time series of egg mass counts (an index of adult female abundance) from R. boylii populations in 36 focal streams and fit an MPVA model to quantify how streamflow metrics, stream temperature, and surrounding land cover affect population growth. We found population growth was positively related to stream temperature and was higher in the years following a wet year with high total annual streamflow. Density dependence was weakest (i.e., carrying capacity was highest) for streams with high seasonality of streamflow and intermediate rates of change in streamflow during spring. Our results highlight how altered streamflow can further increase the risk of decline for R. boylii populations. Managing stream conditions to better match natural flow and thermal regimes would benefit the conservation of R. boylii populations.",2023,,ECOSPHERE,14,8,,WOS:001059171800001,10.1002/ecs2.4645,,#64,Rose 2023,"",""
Time series of freshwater macroinvertebrate abundances and site characteristics of European streams and rivers,"Welti, EAR; Bowler, DE; Sinclair, JS; Altermatt, F; Alvarez-Cabria, M; Amatulli, G; Angeler, DG; Archambaud, G; Jorrin, IA; Aspin, T; Azpiroz, I; Baker, NJ; Bañares, I; Ortiz, JB; Bodin, CL; Bonacina, L; Bonada, N; Bottarin, R; Cañedo-Argüelles, M; Csabai, Z; Datry, T; de Eyto, E; Dohet, A; Domisch, S; Dörflinger, G; Drohan, E; Eikland, KA; England, J; Eriksen, TE; Evtimova, V; Feio, MJ; Ferréol, M; Floury, M; Forcellini, M; Forio, MAE; Fornaroli, R; Friberg, N; Fruget, JF; Marquez, JRG; Georgieva, G; Goethals, P; Graça, MAS; House, A; Huttunen, KL; Jensen, TC; Johnson, RK; Jones, JI; Kiesel, J; Larrañaga, A; Leitner, P; L'Hoste, L; Lizée, MH; Lorenz, AW; Maire, A; Arnaiz, JAM; Mckie, B; Millán, A; Muotka, T; Murphy, JF; Ozolins, D; Paavola, R; Paril, P; Silva, FJP; Polasek, M; Rasmussen, J; Rubio, M; Fernández, DS; Sandin, L; Schäfer, RB; Schmidt-Kloiber, A; Scotti, A; Shen, LZQ; Skuja, A; Stoll, S; Straka, M; Stubbington, R; Timm, H; Tyufekchieva, VG; Tziortzis, I; Uzunov, Y; van der Lee, GH; Vannevel, R; Varadinova, E; Várbiró, G; Velle, G; Verdonschot, PFM; Verdonschot, RCM; Vidinova, Y; Wiberg-Larsen, P; Haase, P","Freshwater macroinvertebrates are a diverse group and play key ecological roles, including accelerating nutrient cycling, filtering water, controlling primary producers, and providing food for predators. Their differences in tolerances and short generation times manifest in rapid community responses to change. Macroinvertebrate community composition is an indicator of water quality. In Europe, efforts to improve water quality following environmental legislation, primarily starting in the 1980s, may have driven a recovery of macroinvertebrate communities. Towards understanding temporal and spatial variation of these organisms, we compiled the TREAM dataset (Time seRies of European freshwAter Macroinvertebrates), consisting of macroinvertebrate community time series from 1,816 river and stream sites (mean length of 19.2 years and 14.9 sampling years) of 22 European countries sampled between 1968 and 2020. In total, the data include >93 million sampled individuals of 2,648 taxa from 959 genera and 212 families. These data can be used to test questions ranging from identifying drivers of the population dynamics of specific taxa to assessing the success of legislative and management restoration efforts.",2024,,SCIENTIFIC DATA,11,1,,WOS:001335886900005,10.1038/s41597-024-03445-3,,#65,Welti 2024,"",""
Temporal variation of Synechococcus clades at a coastal Pacific Ocean monitoring site,"Tai, V; Palenik, B","Marine cyanobacteria from the genus Synechococcus are found throughout the world's oceans and are important contributors to global primary productivity and carbon cycling. Cultured isolates and environmental DNA clone libraries of Synechococcus have demonstrated the diversity of these microbes. However, the natural distribution of this diversity through space and time and the ecological significance of their distribution are still poorly understood. To understand the seasonal dynamics of Synechococcus diversity, we have developed a quantitative PCR strategy using the gene encoding as a subunit of DNA-dependent RNA polymerase (rpoC1) and applied it to a 3-year time series of surface samples from the Scripps Institution of Oceanography pier (La Jolla, CA, USA), a coastal site in the northeastern Pacific Ocean. Synechococcus from clades I and IV were dominant throughout the time series and correlated with total Synechococcus abundance. The relative abundance of these two dominant clades showed evidence of a seasonal cycle. Synechococcus from clade IV were typically more abundant, but those from clade I dominated during periods just before the annual spring bloom of Synechococcus. Synechococcus from clades II and III were absent during spring and early summer, but appeared at low abundances in late summer and winter possibly due to changes in circulation in the Southern California Bight. As the first long-term time series describing Synechococcus population diversity, these temporal dynamics were used to interpret the genetic/genomic diversity observed in the environment and the potential factors regulating their distribution. The ISME Journal (2009) 3, 903-915; doi: 10.1038/ismej.2009.35; published online 9 April 2009",2009,,ISME JOURNAL,3,8,903-915,WOS:000268741300004,10.1038/ismej.2009.35,,#71,Tai 2009,"",""
"Trends in Benthic Macrofaunal Populations, Seasonal Sea Ice Persistence, and Bottom Water Temperatures in the Bering Strait Region","Grebmeier, JM; Frey, KE; Cooper, LW; Kedra, M","Recent declines in sea ice extent and warming seawater temperatures in the Arctic have the potential to impact regional and pan-Arctic marine ecosystems. To investigate marine biological response to these key drivers and other environmental factors, we undertook a robust trend analysis of benthic macrofaunal populations and environmental drivers in the Bering Strait region. Our focus was on the waters of the northern Bering and southern Chukchi Seas, which are shallow (<100 m) and seasonally productive, with strong pelagic-benthic coupling between water-column-derived organic matter and the seafloor. Studies indicate that both in situ production and advection of upstream phytodetritus support persistent biologically productive regions, termed hotspots, in the greater Bering Strait region. The benthic marine ecosystem is dominated by macroinvertebrates (e.g., clams, polychaetes, and amphipods) that in turn serve as food resources for diving mammals and seabirds, thus allowing for changes to cascade strongly through the food web from prey to predator. During our study, the persistence of seasonal sea ice significantly declined; trend analyses indicate both earlier sea ice breakup and later fall freeze-up in recent years. When combined with warming seawater temperatures in the region, these changes have ramifications for water column processes that influence benthic faunal biomass and composition, which can transfer to upper trophic level predators. We studied these changes by evaluating time series sites in three benthic biomass hotspots starting in 1998 (Southeast Chukchi Sea region), 1999 (Chirikov Basin region), and 2000 (St. Lawrence Island Polynya region). We present these data within a broader evaluation of benthic biomass results from prior cruises dating as early as the 1970s. The current study focuses on the period 1998-2015 at sites occupied annually each July using CCGS Sir Wilfrid Laurier. Since 2010, these time series sites have become part of the international Distributed Biological Observatory (DBO), a network of standard time series stations and transect lines in the Pacific Arctic that is used for evaluating changes within the biological system. We found that these regions have experienced northward shifts in high benthic biomass and changes in dominant macrofaunal composition that are coincident with recent reduced sea ice cover and variable warming of seasonal water column temperatures. Hydrographic changes can influence chlorophyll a inventories in surface sediments and total organic carbon content, both of which are indicators of food supply to the benthos. In addition, sediment grain size reflects variable current flow that in turn influences faunal composition. Time series studies are essential for evaluating whether this region is transitioning or even reaching a ""tipping point"" that could shift the benthic-dominated system to a pelagic one, with large-scale ramifications for ecosystem structure in this highly productive Pacific Arctic ecosystem.",2018,,OCEANOGRAPHY,31,2,136-151,WOS:000452824700021,10.5670/oceanog.2018.224,,#74,Grebmeier 2018,"",""
"Assessing the effects of fishing in Cape Verde and Guinea Bissau, northwest Africa","Stobberup, KA; Amorim, P; Pires, V; Monteiro, VM","The assessment of fishery resources in countries such as Cape Verde and Guinea Bissau is particularly difficult due to data limitations and a lack of consistent time series. Considering these limitations, several techniques were applied, depending on the type of data available. These techniques included nonparametric multidimensional scaling (MDS), abundance-biomass curves (ABC curves), correlation analysis, and general linear models (GLIA), which were applied to trawl survey data. Furthermore, mean size of species groups was used as an indicator in the case of Guinea Bissau and time series analysis was applied to the Cape Verde catch statistics.In Cape Verde, there was no apparent change over time in the structure of demersal fish communities. This is consistent with a gradual increase in fishing pressure over a period of 20 years, which was also observed as a trend for lower mean abundance of demersal fish species in recent years. In contrast, time series analysis of catch data indicates that a shift has occurred with decreasing catches of important pelagic species such as yellowfin and skipjack tuna and increasing catches of small pelagics and neritic tuna as well as some demersal species.In Guinea Bissau, the effects of area and depth were found to be important in defining the structure of demersal fish communities. In contrast, the effect of time was not apparent. on the other hand, demersal fish abundance and mean size of groups decreased for recent years, from 1989 to 1992 in particular, which was a period of intensive fishing. Furthermore, an effect on the abundance/biomass relationship (ABC curves) was observed for the same period.",2005,,FISHERIES ASSESSMENT AND MANAGEMENT IN DATA-LIMITED SITUATIONS,21,,395-417,WOS:000234966100023,,,#78,Stobberup 2005,"",""
Mysis in the Okanagan Lake food web: a time-series analysis of interaction strengths in an invaded plankton community,"Schindler, DE; Carter, JL; Francis, TB; Lisi, PJ; Askey, PJ; Sebastian, DC","Mysis introductions to the lakes of western North America have shown they are important predators on zooplankton, especially daphnids, and intercept energy flows that would otherwise be available to pelagic fishes. However, understanding of the ecological roles of Mysis within invaded communities following their establishment remains weak. We analyzed zooplankton and phytoplankton data collected from Okanagan Lake, British Columbia, within a time-series framework to evaluate the strength of ecological interactions between Mysis and the other dominant plankton. Top-down effects of Mysis in the plankton community were only detected on cyclopoid copepods and cyanophytes. Mysis dynamics were mostly driven by bottom-up effects from diatoms and from small cladocerans whose dynamics were driven primarily by the abundance of edible phytoplankton. This result supports the growing appreciation of the importance of omnivory in mysids and was consistent between the two main basins of the lake. We also analyzed published stable C and N isotope data from the plankton of Okanagan Lake with an isotope mixing model to estimate the relative importance of various potential energy sources to Mysis. This analysis supported the time-series results suggesting the importance of diatoms and small zooplankton to Mysis. However, the isotopes also suggested important resource flows from Daphnia to Mysis, an interaction not detected in the time-series analysis. Taken together, these results suggest that Mysis is a strong interactor in the Okanagan Lake food web, relying in part on energy flow through Daphnia. However, subsidies from diatoms likely decouple seasonal Mysis population dynamics from the seasonal population dynamics of Daphnia.",2012,,AQUATIC ECOLOGY,46,2,215-227,WOS:000304693800006,10.1007/s10452-012-9393-0,,#79,Schindler 2012,"",""
"Influence of Weather, Wetland Availability, and Mallard Abundance on Productivity of Great Lakes Mallards (Anas platyrhynchos)","Singer, HV; Luukkonen, DR; Armstrong, LM; Winterstein, SR","Waterfowl rely on breeding habitat availability for successful reproduction. Breeding habitat availability likely changes throughout the season and among years as weather patterns change and thus productivity rates are likely susceptible to these changes. We used data from 1961 to 2011 to investigate effects of weather, breeding habitat availability and abundance of breeding mallards (Anas platyrhynchos) on productivity rates of mallards breeding in the Great Lake states (Michigan, Minnesota, and Wisconsin; hereafter GLS). We hypothesized that productivity rates would increase with wetter and warmer conditions however, extreme temperatures may have a negative impact and that high breeding density may negatively impact productivity rates. Specifically, we looked at the effects of average June and July temperature and precipitation, the Palmer Hydrological Drought Index (hereafter PHDI), and wetland counts to model productivity rates across the three states for the time series. We used a reduced time series model set to evaluate the impacts of wetland counts on productivity. We found that in general, wetter conditions, as indexed by high positive PHDI values and relationships with pond abundance, positively affected productivity. We believe that breeding habitat availability is likely a reasonable predictor of mallard productivity rates in the GLS.",2016,,WETLANDS,36,5,969-978,WOS:000385162100017,10.1007/s13157-016-0812-1,,#80,Singer 2016,"",""
From metabarcoding time series to plankton food webs: The hidden role of trophic hierarchy in providing ecological resilience,"Russo, L; Bellardini, D; Zampicinini, G; Jordn, F; Congestri, R; D'Alelio, D","The advent of metabarcoding (metaB) in aquatic ecology has provided a huge amount of information on plankton biodiversity worldwide. However, the large datasets obtained with that approach are still partially explored, especially for what concerns the study of trophic interactions and food webs. In this study, we analysed a metaB time series from the Long-Term Ecological Research station MareChiara (LTER-MC) in the Gulf of Naples, Mediterranean Sea, Italy, to describe the link between plankton diversity and food-web structure. We derived co-occurrence networks from metaB time series, identified putative trophic interactions among co-occurrences based on biological information (body size and trophic habit) available for planktonic organisms detected by metaB, and converted co-occurrence networks into conceptual models of food webs. The latter showed structural properties resembling ecological processes, because network modularity (the presence of semi-independent sub-networks) paralleled trophic hierarchy (the dimensional difference between predator and prey). We also analysed the role of planktonic organisms in maintaining network modularity. The largest predators occupied distinct modules, suggesting niche partitioning, whereas the smallest preys worked as fundamental connectors between larger predators (and different modules). Overall, the presence of trophic hierarchy and modularity shown herein supports the view of the high ecological resilience of plankton, pursued via food-web rewiring, to environmental shifts.",2023,,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,44,3,,WOS:000926593200001,10.1111/maec.12733,,#84,Russo 2023,"",""
Disassembly of an epibenthic assemblage in a sustained severely hypoxic event in a northeast Pacific basin,"Gasbarro, R; Chu, JWF; Tunnicliffe, V","As global ocean deoxygenation proceeds and the frequency of extreme low-oxygen (hypoxic) events increases, seafloor ecosystems will inevitably be affected. Our study examines how benthic community responses scale with the severity and spatial extent of hypoxia. Saanich Inlet is a natural model system for testing the effects of hypoxic conditions that determine the benthic megafaunal community structure during annual deoxygenation and reoxygenation. In 2016, an anomalously severe and widespread hypoxic event occurred in the fjord after a decade of oxygen decline at a rate of 0.07 mL L-1 y(-1) as measured by a cabled seafloor observatory. We use a living ecological time-series generated from remotely operated vehicle surveys to assess how the benthic megafaunal community disassembled in response to this extreme hypoxic event. Three benthic surveys at similar times in 2013 and 2016 reveal large increases in the area of seafloor bathed in anoxic and hypoxic waters in the latter year. Both bottom oxygen and species depth distributions shoaled from 2013 to 2016, accompanied by a 56% overall decline in megafauna. The abundant habitat-forming pennatulacean octocoral, Halipteris willemoesi, decreased in abundance by 92.3% from fall 2013 to fall 2016, and pandalid shrimp disappeared from the community. Hypoxia-tolerant species experienced milder losses, and two new species occurred in 2016-one a predator on the coral. Co-occurrence analyses revealed loss of significant community segregation from 2013 to 2016, and a re-mix of pairwise species co-occurrences in the latter year. The loss of oxygenated habitat compressed species into narrower depth ranges and led to disassembly probably through niche space constriction, while decimation of some populations eliminated key community associations. Community fragmentation and disruption of interactions is a possible outcome for many marine benthic ecosystems as marine hypoxia intensifies.",2019,,JOURNAL OF MARINE SYSTEMS,198,,,WOS:000477916900001,10.1016/j.jmarsys.2019.103184,,#86,Gasbarro 2019,"",""
Assessing the effectiveness of releasing cod larvae for stock improvement with monitoring data,"Chan, KS; Stenseth, NC; Kittilsen, MO; Gjosæter, J; Lekve, K; Smith, T; Tveite, S; Danielssen, D","Beginning in the 1880s, management of marine fisheries by hatching and releasing yolk-sac-stage larvae was advocated in both the United States and Norway. Major cod hatchery. programs were popular in both countries until the mid-20th century, despite lack of evidence that cod abundance increases with release of hatchery-reared fish larvae; the potential value for such management procedures was repeatedly advocated throughout the 20th century. In Norway, a beach-seine monitoring program was begun in the early 1900s to collect data on fall abundance of 6-mo-old demersal fish in 21 fjords along the Norwegian Skagerrak coast and is still going on. We used these data in conjunction with hatchery data on numbers of yolk-sac larval cod released each spring in several fjords to test for an effect of the releases on the abundance of fjord cod populations. Using both a permutation test and a statistically derived time-series model for the cod's population dynamics, we found a Slight, but statistically significant, dependence of 6-mo-old cod abundance on the number of yolk-sac larvae released in four of the 16 fjords (for which we had adequate release and beach-seine data needed for carrying out the testing). However, using the time-series model, we did not find evidence of long-term increases in the abundance of mature cod in any of the fjords. We discuss our findings on the basis of the literature on marine fish population enhancement programs worldwide.",2003,,ECOLOGICAL APPLICATIONS,13,1,3-22,WOS:000181663700002,10.1890/1051-0761(2003)013[0003:ATEORC]2.0.CO;2,,#89,Chan 2003,"",""
Postcatastrophe Population Dynamics and Density Dependence of an Endemic Island Duck,"Seavy, NE; Reynolds, MH; Link, WA; Hatfield, JS","Laysan ducks (Anas laysanensis) are restricted to approximately 9 km 2 in the Northwestern Hawaiian Islands, USA. To evaluate the importance of density dependence for Laysan ducks, we conducted a Bayesian analysis to estimate the parameters of a Gompertz model and the magnitude of process variation and observation error based on the fluctuations in Laysan duck abundance on Laysan Island from 1994 to 2007. This model described a stationary distribution for the population at carrying capacity that fluctuates around a long-term mean of 456 ducks and is between 316 to 636 ducks 95% of the time. This range of expected variability can be used to identify changes in population size that warn of catastrophic events. Density-dependent population dynamics may explain the recovery of Laysan duck from catastrophic declines and allow managers to identify population monitoring thresholds. (JOURNAL OF WILDLIFE MANAGEMENT 73(3):414-418;2009)",2009,,JOURNAL OF WILDLIFE MANAGEMENT,73,3,414-418,WOS:000265032100016,10.2193/2007-420,,#90,Seavy 2009,"",""
Current temporal trends in moth abundance are counter to predicted effects of climate change in an assemblage of subarctic forest moths,"Hunter, MD; Kozlov, MV; Itämies, J; Pulliainen, E; Bäck, J; Kyrö, EM; Niemelä, P","Changes in climate are influencing the distribution and abundance of the world's biota, with significant consequences for biological diversity and ecosystem processes. Recent work has raised concern that populations of moths and butterflies (Lepidoptera) may be particularly susceptible to population declines under environmental change. Moreover, effects of climate change may be especially pronounced in high latitude ecosystems. Here, we examine population dynamics in an assemblage of subarctic forest moths in Finnish Lapland to assess current trajectories of population change. Moth counts were made continuously over a period of 32years using light traps. From 456 species recorded, 80 were sufficiently abundant for detailed analyses of their population dynamics. Climate records indicated rapid increases in temperature and winter precipitation at our study site during the sampling period. However, 90% of moth populations were stable (57%) or increasing (33%) over the same period of study. Nonetheless, current population trends do not appear to reflect positive responses to climate change. Rather, time-series models illustrated that the per capita rates of change of moth species were more frequently associated negatively than positively with climate change variables, even as their populations were increasing. For example, the per capita rates of change of 35% of microlepidoptera were associated negatively with climate change variables. Moth life-history traits were not generally strong predictors of current population change or associations with climate change variables. However, 60% of moth species that fed as larvae on resources other than living vascular plants (e.g. litter, lichen, mosses) were associated negatively with climate change variables in time-series models, suggesting that such species may be particularly vulnerable to climate change. Overall, populations of subarctic forest moths in Finland are performing better than expected, and their populations appear buffered at present from potential deleterious effects of climate change by other ecological forces.",2014,,GLOBAL CHANGE BIOLOGY,20,6,1723-1737,WOS:000336482700003,10.1111/gcb.12529,,#91,Hunter 2014,"",""
